Model,CoT Mean,Few-shot Mean,Zero-shot Mean
codellama,56.83283333333333,57.077999999999996,56.78931666666667
mistral,34.3515,50.554916666666664,57.221833333333336
starcoder2,18.332833333333333,42.59191666666667,25.0
