Prompt,Model,Shapiro_W,p_value
cot,codellama,0.6216,0.0008
cot,mistral,0.8566,0.1777
cot,starcoder2,0.5473,0.0001
few_shot,codellama,0.7618,0.0259
few_shot,mistral,0.8216,0.0911
few_shot,starcoder2,0.6948,0.0054
zero,codellama,0.8847,0.2913
zero,mistral,0.9266,0.5544
zero,starcoder2,0.5473,0.0001
