prompt,model,N,Mean,SD
cot,codellama,6,0.0036666666666666666,0.001505545305418162
cot,mistral,6,0.0031666666666666666,0.0019407902170679517
cot,starcoder2,6,0.0008333333333333334,0.0016020819787597221
few_shot,codellama,6,0.0031666666666666666,0.0011690451944500124
few_shot,mistral,6,0.0045000000000000005,0.0020736441353327723
few_shot,starcoder2,6,0.0011666666666666668,0.0024013884872437167
zero,codellama,6,0.0061666666666666675,0.009410986487434072
zero,mistral,6,0.004333333333333334,0.0036147844564602557
zero,starcoder2,6,0.0015000000000000002,0.0032093613071762423
