,sum_sq,df,F,PR(>F)
C(prompt),6.703703703703698,2.0,0.3513198757763973,0.7056716008940978
C(model),0.4814814814814853,2.0,0.02523291925465859,0.9750965561582694
C(prompt):C(model),30.96296296296293,4.0,0.8113354037267073,0.5245867938462991
Residual,429.33333333333326,45.0,,
