,sum_sq,df,F,PR(>F)
C(prompt),3405.353911111108,2.0,1.190622879004575,0.3134266134241212
C(model),17355.81069999998,2.0,6.068157919113318,0.004642546956870585
C(prompt):C(model),1594.6090555555552,4.0,0.27876368714828353,0.8901855253967603
Residual,64353.25941666666,45.0,,
