,sum_sq,df,F,PR(>F)
C(prompt),2.0111111111111063e-05,2.0,0.6857792371811047,0.5088836387235127
C(model),0.0001089999999999998,2.0,3.7168476888102986,0.03206609395520035
C(prompt):C(model),1.8555555555555475e-05,4.0,0.3163677696387963,0.8655399443735247
Residual,0.0006598333333333333,45.0,,
