,sum_sq,df,F,PR(>F)
C(prompt),485.33333333333405,2.0,1.6736059669467955,0.1990326315534605
C(model),2845.777777777779,2.0,9.813277478351942,0.0002904249566368673
C(prompt):C(model),262.88888888889016,4.0,0.4532682827147586,0.7694729851982457
Residual,6524.833333333333,45.0,,
