,sum_sq,df,F,PR(>F)
C(prompt),12.481481481481493,2.0,0.41666666666666696,0.6617578205021644
C(model),36.925925925925945,2.0,1.2326904055390708,0.30116170376912876
C(prompt):C(model),11.851851851851842,4.0,0.19782393669634007,0.9382286341645902
Residual,674.0000000000001,45.0,,
