prompt,model,N,Mean,SD
cot,codellama,6,15.166666666666666,3.2506409624359724
cot,mistral,6,20.333333333333332,12.209286083414815
cot,starcoder2,6,7.0,14.000000000000002
few_shot,codellama,6,27.166666666666668,10.571975532825766
few_shot,mistral,6,27.333333333333332,12.060956291549466
few_shot,starcoder2,6,8.0,13.386560424545209
zero,codellama,6,15.166666666666666,11.548448669265785
zero,mistral,6,24.166666666666668,16.47321057555772
zero,starcoder2,6,5.166666666666667,10.400320507881796
