prompt,model,N,Mean,SD
cot,codellama,6,2.8333333333333335,3.600925806881706
cot,mistral,6,1.5,1.378404875209022
cot,starcoder2,6,2.1666666666666665,4.833908011812665
few_shot,codellama,6,4.0,2.3664319132398464
few_shot,mistral,6,1.6666666666666667,0.816496580927726
few_shot,starcoder2,6,4.333333333333333,6.831300510639733
zero,codellama,6,4.0,4.2895221179054435
zero,mistral,6,1.6666666666666667,1.3662601021279464
zero,starcoder2,6,2.1666666666666665,4.833908011812665
