,sum_sq,df,F,PR(>F)
C(prompt),60.11111111111092,2.0,0.9346924671734596,0.40019654752207723
C(model),205.77777777777735,2.0,3.199723565998611,0.0502014762654855
C(prompt):C(model),121.11111111111113,4.0,0.9416033172080169,0.4487025365965991
Residual,1446.9999999999998,45.0,,
