,sum_sq,df,F,PR(>F)
C(prompt),238.25925925925904,2.0,1.8461229409401345,0.16960393167981255
C(model),1094.0370370370379,2.0,8.477013143545893,0.0007511332842755683
C(prompt):C(model),64.40740740740736,4.0,0.24952648797566412,0.9084500121416373
Residual,2903.833333333334,45.0,,
