prompt,model,N,Mean,SD
cot,codellama,6,2.6666666666666665,4.0824829046386295
cot,mistral,6,0.8333333333333334,0.408248290463863
cot,starcoder2,6,1.6666666666666667,2.6583202716502514
few_shot,codellama,6,1.5,1.224744871391589
few_shot,mistral,6,1.1666666666666667,0.408248290463863
few_shot,starcoder2,6,1.5,1.224744871391589
zero,codellama,6,1.5,1.224744871391589
zero,mistral,6,1.1666666666666667,0.408248290463863
zero,starcoder2,6,0.8333333333333334,0.408248290463863
