prompt,model,N,Mean,SD
cot,codellama,6,0.005833333333333333,0.005192943930629973
cot,mistral,6,0.0029666666666666665,0.0021228911104120875
cot,starcoder2,6,0.0016833333333333333,0.001414802695313614
few_shot,codellama,6,0.003316666666666667,0.0010419532938988516
few_shot,mistral,6,0.00415,0.0016549924471126747
few_shot,starcoder2,6,0.0036666666666666666,0.0039327683210007005
zero,codellama,6,0.016566666666666667,0.03222692456109746
zero,mistral,6,0.0036333333333333335,0.0013470956412470008
zero,starcoder2,6,0.00935,0.018304507641561957
