,sum_sq,df,F,PR(>F)
C(prompt),2.8148148148148158,2.0,0.4382929642445215,0.6478612669655022
C(model),6.481481481481488,2.0,1.009227220299886,0.3726007316106122
C(prompt):C(model),5.407407407407409,4.0,0.42099192618223785,0.7926330470669531
Residual,144.49999999999997,45.0,,
