Prompt,Model,Shapiro_W,p_value
cot,codellama,0.8862,0.2988
cot,mistral,0.8663,0.2117
cot,starcoder2,0.7947,0.0526
few_shot,codellama,0.8311,0.1099
few_shot,mistral,0.7013,0.0064
few_shot,starcoder2,0.9167,0.4821
zero,codellama,0.9819,0.9606
zero,mistral,0.4961,0.0
zero,starcoder2,0.6739,0.0032
