,sum_sq,df,F,PR(>F)
C(prompt),0.0004687559259259257,2.0,1.4769541468205425,0.23918909238902605
C(model),0.00024064703703703772,2.0,0.7582296449263339,0.47438607867607274
C(prompt):C(model),0.0003196918518518515,4.0,0.503641853022616,0.7331957914914431
Residual,0.007141053333333335,45.0,,
