,sum_sq,df,F,PR(>F)
C(prompt),1768.5039148077808,2.0,1.0978658834745403,0.3423499475969853
C(model),7441.37021801333,2.0,4.619512809813766,0.014971464402411714
C(prompt):C(model),1776.747569782227,4.0,0.5514917224885594,0.6988922845735104
Residual,36244.26141856501,45.0,,
