prompt,model,N,Mean,SD
cot,codellama,6,4.166666666666667,2.3166067138525404
cot,mistral,6,1.1666666666666667,0.752772652709081
cot,starcoder2,6,2.1666666666666665,2.6394443859772205
few_shot,codellama,6,2.0,1.2649110640673518
few_shot,mistral,6,1.5,0.8366600265340757
few_shot,starcoder2,6,6.833333333333333,5.636192568273964
zero,codellama,6,4.5,1.8708286933869707
zero,mistral,6,1.3333333333333333,0.816496580927726
zero,starcoder2,6,9.333333333333334,15.435888917281915
