Prompt,Model,Shapiro_W,p_value
cot,codellama,0.7671,0.0291
cot,mistral,0.9865,0.9788
cot,starcoder2,0.8875,0.305
few_shot,codellama,0.9352,0.6205
few_shot,mistral,0.9081,0.4239
few_shot,starcoder2,0.7725,0.0328
zero,codellama,0.5343,0.0001
zero,mistral,0.9456,0.7043
zero,starcoder2,0.5713,0.0002
