prompt,model,N,Mean,SD
cot,codellama,6,18.333333333333332,3.3862466931200785
cot,mistral,6,18.333333333333332,9.77070451229934
cot,starcoder2,6,5.833333333333333,7.386925386564201
few_shot,codellama,6,20.666666666666668,6.121002096606949
few_shot,mistral,6,22.833333333333332,7.600438583836242
few_shot,starcoder2,6,13.5,6.833739825307955
zero,codellama,6,19.666666666666668,5.785038173311103
zero,mistral,6,21.666666666666668,6.592925501373928
zero,starcoder2,6,13.0,14.15627069534911
